model,price,transmission,miles_per_gallaon,fuel,year,cubic_capacity,milage,color,type,age,car_brand,car_model
Hatchback,2590,Manual,52.3,Petrol,2007,998.0,81498,Silver,Hatchback,17,Toyota, Yaris
4 2.0 XT4 5dr Estate,2595,Manual,32.1,Petrol,2004,1998.0,115123,Silver,Estate,20,Toyota, RAV4
1.3 VVT-i T3 3dr SUPERB,2650,Manual,47.1,Petrol,2006,1299.0,128000,Black,Hatchback,18,Toyota, Yaris
s 1.3 VVT-i TR 5dr 1.3 Other,2685,Manual,47.1,Petrol,2008,1300.0,92000,RED,Other,16,Toyota, Yaris
s 1.0 VVT-i T3 Hatchback,2695,Manual,50.4,Petrol,2004,998.0,28000,Silver,Hatchback,20,Toyota, Yaris
Hatchback,2695,Manual,47.1,Petrol,2008,1296.0,83076,Grey,Hatchback,16,Toyota, Yaris
s 2.2 D-4D T180 5dr Hatchback,2695,Manual,52.3,Diesel,2007,2231.0,107115,Black,Hatchback,17,Toyota, Auris
s Hatchback,2695,Manual,56.5,Petrol,2009,998.0,118245,Silver,Hatchback,15,Toyota, Yaris
o 1.0 VVT-i Blue 5dr Hatchback,2695,Manual,62.8,Petrol,2010,1000.0,120000,Blue,Hatchback,14,Toyota, Aygo
1.0 ION L 3-Door Hatchback,2695,Manual,52.3,Petrol,2007,998.0,129296,Red,Hatchback,17,Toyota, Yaris
Hatchback,2700,Manual,47.8,Petrol,2010,1329.0,112000,Black,Hatchback,14,Toyota, Auris
s 2.0 D-4D T3-X 5dr Hatchback,2750,Manual,51.4,Diesel,2007,1998.0,68000,Black,Hatchback,17,Toyota, Avensis
TR VVTI,2750,Manual,47.1,Petrol,2007,1296.0,69000,Silver,Hatchback,17,Toyota, Yaris
o 1.0 VVT-i Blue Hatchback 3dr Petrol Manual Euro 4 (67 bhp) Hatchback,2750,Manual,62.8,Petrol,2010,998.0,73000,Blue,Hatchback,14,Toyota, Aygo
4 2.2 D-4D T180 SUV,2750,Manual,40.4,Diesel,2006,2231.0,150000,Blue,SUV,18,Toyota, RAV4
o 1.0 VVT-i Platinum Euro 4 3dr Hatchback,2750,Manual,61.4,Petrol,2008,998.0,84090,Silver,Hatchback,16,Toyota, Aygo
4 2.0 XT4 4WD 5dr SUV,2790,Manual,32.8,Petrol,2006,1998.0,132000,Blue,SUV,18,Toyota, RAV4
o Hatchback,2795,Manual,62.8,Petrol,2010,1000.0,84000,Black,Hatchback,14,Toyota, Aygo
s 1.3 TR VVT-I 3d 99 BHP Hatchback,2795,Manual,54.3,Petrol,2010,1329.0,88046,RED,Hatchback,14,Toyota, Yaris
1.6 VVT-i Colour Collection 5dr ONLY 2 PREVIOUS OWNER Hatchback,2795,Manual,40.4,Petrol,2006,1598.0,105100,Blue,Hatchback,18,Toyota, Corolla
SR,2795,Manual,39.2,Petrol,2007,1798.0,130000,Grey,Hatchback,17,Toyota, Yaris
Hatchback,2795,Automatic,65.7,Other,2008,1497.0,310850,Black,Hatchback,16,Toyota, Prius
2.0 D-4D SR 5dr Hatchback,2795,Manual,52.3,Diesel,2008,1998.0,79000,Black,Hatchback,16,Toyota, Auris
o 1.0 VVT-i Fire Hatchback,2850,Manual,65.7,Petrol,2013,998.0,85000,White,Hatchback,11,Toyota, Aygo
Hatchback,2890,Manual,49.6,Diesel,2005,2000.0,55700,Black,Hatchback,19,Toyota, Corolla
Vvt-i + 1 Other,2895,Manual,61.4,Petrol,2008,1000.0,95000,Red,Other,16,Toyota, Aygo
s DIESEL TOURER Estate,2895,Manual,54.3,Diesel,2009,1998.0,128000,Blue,Estate,15,Toyota, Avensis
s 2.0 V-Matic T4 Euro 4 4dr Saloon,2899,Manual,40.9,Petrol,2009,1986.0,127237,Blue,Saloon,15,Toyota, Avensis
2.0 D-4D TR Nav 4dr Saloon,2945,Manual,53.3,Diesel,2011,2000.0,155000,Blue,Saloon,13,Toyota, Avensis
s 1.3 TR VVT-I 5d 101 BHP Hatchback,2950,Manual,47.8,Petrol,2010,1329.0,131000,BLUE,Hatchback,14,Toyota, Auris
s 1.8 VVT-i TR 5dr - 2 FORMER KEEPERS - 10 SERVICE STAMPS - Hatchback,2990,Manual,39.2,Petrol,2008,1794.0,68000,Black,Hatchback,16,Toyota, Avensis
1.0 VVT-I IQ,2990,Manual,65.7,Petrol,2009,998.0,72000,RED,Hatchback,15,Toyota, IQ
o 1.0 VVT-i Mode Euro 5 5dr Hatchback,2994,Manual,65.7,Petrol,2013,998.0,86439,Black,Hatchback,11,Toyota, Aygo
o BLACK VVT-I 5-Door Hatchback,2995,Manual,62.8,Petrol,2010,998.0,63000,Black,Hatchback,14,Toyota, Aygo
1.0 VVT-i AYGO Black Hatchback 5d 998cc,2995,Manual,61.4,Petrol,2008,998.0,64000,Black,Hatchback,16,Toyota, Aygo
1.3 VVT-i Zinc Hatchback,2995,Manual,47.1,Petrol,2007,1299.0,66930,Silver,Hatchback,17,Toyota, Yaris
Hatchback,2995,Manual,61.4,Petrol,2007,998.0,73680,Silver,Hatchback,17,Toyota, Aygo
Hatchback,2995,Manual,61.4,Petrol,2008,1000.0,73889,Silver,Hatchback,16,Toyota, Aygo
o 1.0 VVT-i Black Hatchback,2995,Manual,61.4,Petrol,2007,998.0,74215,Black,Hatchback,17,Toyota, Aygo
Hatchback,2995,Manual,47.1,Petrol,2007,1300.0,78936,Silver,Hatchback,17,Toyota, Yaris
1.0 VVT-i 2 Hatchback,2995,Manual,65.7,Petrol,2009,996.0,79670,Purple,Hatchback,15,Toyota, IQ
s 2.2 D-4D T180 Hatchback,2995,Manual,46.3,Diesel,2008,2231.0,83500,Silver,Hatchback,16,Toyota, Avensis
Hatchback,2995,Manual,61.4,Petrol,2011,998.0,84000,White,Hatchback,13,Toyota, Aygo
o 1.0 VVT-I ICE 3DR Hatchback,2995,Manual,61.4,Petrol,2011,998.0,86000,Silver,Hatchback,13,Toyota, Aygo
s HATCHBACK Hatchback,2995,Manual,56.5,Petrol,2009,998.0,87000,Red,Hatchback,15,Toyota, Yaris
s 1.6 V-Matic TR 5dr [6] Hatchback,2995,Manual,43.5,Petrol,2009,1598.0,88000,RED,Hatchback,15,Toyota, Auris
s 1.0 TR 5d 69 BHP Hatchback,2995,Manual,52.3,Petrol,2008,998.0,90000,Silver,Hatchback,16,Toyota, Yaris
o Hatchback,2995,Manual,62.8,Petrol,2009,1000.0,90927,Blue,Hatchback,15,Toyota, Aygo
o 1.0 VVT-i Go 5dr Hatchback,2995,Manual,61.4,Petrol,2011,998.0,91000,Red,Hatchback,13,Toyota, Aygo
4 Vvti Nrg 2 Other,2995,Manual,32.1,Petrol,2002,2000.0,96000,Beige,Other,22,Toyota, RAV4
s 1.6 VVT-i T3 Hatchback,2995,Manual,39.8,Petrol,2008,1598.0,97000,Blue,Hatchback,16,Toyota, Auris
VVT-I BLUE Hatchback,2995,Manual,61.4,Petrol,2008,998.0,98170,Blue,Hatchback,16,Toyota, Aygo
1.0 VVT-i TR Euro 4 3dr FULL SERVICE HISTORY Hatchback,2995,Manual,56.5,Petrol,2010,996.0,109000,Red,Hatchback,14,Toyota, Yaris
4 2.0 VVT-i XT3 5dr SUV,2995,Manual,32.8,Petrol,2006,2000.0,122345,Blue,SUV,18,Toyota, RAV4
4 2.0 NV 5dr Estate,2995,Manual,32.1,Petrol,2003,1998.0,125720,Black,Estate,21,Toyota, RAV4
s 1.6 V-Matic TR 5dr Hatchback,2995,Manual,43.5,Petrol,2009,1598.0,136000,Grey,Hatchback,15,Toyota, Auris
4 2.2 D-4D XT4 SUV,2995,Manual,42.8,Diesel,2007,2231.0,149500,Silver,SUV,17,Toyota, RAV4
s 2.2 TR D-CAT 4d 148 BHP Saloon,2995,Automatic,44.1,Diesel,2011,2231.0,171000,Black,Saloon,13,Toyota, Avensis
o 1.0 VVT-i Platinum 5dr [AC] Hatchback,2999,Manual,61.4,Petrol,2008,998.0,63000,Silver,Hatchback,16,Toyota, Aygo
o 1.0 VVT-i + Hatchback,2999,Manual,61.4,Petrol,2007,998.0,71997,Silver,Hatchback,17,Toyota, Aygo
1.0 VVT-i Blue 3dr Hatchback,2999,Manual,62.8,Petrol,2010,998.0,72000,Blue,Hatchback,14,Toyota, Aygo
VVT-I BLUE Hatchback,2999,Manual,62.8,Petrol,2009,998.0,75500,Blue,Hatchback,15,Toyota, Aygo
4 2.0 D-4D XT-R SUV,2999,Manual,39.8,Diesel,2006,1995.0,87000,Silver,SUV,18,Toyota, RAV4
o 1.0 VVT-i Ice 3dr Hatchback,2999,Manual,65.7,Petrol,2013,998.0,87200,White,Hatchback,11,Toyota, Aygo
o 1.0 VVT-i Go 5dr Hatchback,2999,Manual,61.4,Petrol,2011,998.0,98469,White,Hatchback,13,Toyota, Aygo
1.0 VVT-i T2 5dr Hatchback,2999,Manual,58.9,Petrol,2012,1000.0,108000,Black,Hatchback,12,Toyota, Yaris
s 2.2 T180 D-CAT 5d 175 BHP Hatchback,2999,Manual,52.3,Diesel,2007,2231.0,113615,BLACK,Hatchback,17,Toyota, Auris
4 D-4D XT5 Estate,2999,Manual,42.8,Diesel,2007,2231.0,149000,BLUE,Estate,17,Toyota, RAV4
s 2.0 VVT-i T Spirit 4dr Saloon,3000,Automatic,30.7,Petrol,2003,1998.0,48248,Black,Saloon,21,Toyota, Avensis
1.3 VVT-i TR 5dr PART EX. CLEARANCE. POA Hatchback,3000,Manual,47.1,Petrol,2008,1299.0,83677,Silver,Hatchback,16,Toyota, Yaris
Hatchback,3000,Manual,65.7,Petrol,2009,1000.0,102800,White,Hatchback,15,Toyota, IQ
Hatchback,3090,Manual,60.1,Diesel,2009,1364.0,100051,Blue,Hatchback,15,Toyota, Auris
Verso 1.8 VVT-i T3 5dr MPV,3150,Manual,36.7,Petrol,2007,1794.0,95441,Grey,MPV,17,Toyota, Corolla
o 1.0 VVT-i Blue Hatchback,3190,Manual,62.8,Petrol,2009,998.0,76000,Blue,Hatchback,15,Toyota, Aygo
o 1.0 VVT-i Blue Hatchback,3190,Manual,62.8,Petrol,2009,998.0,102726,Blue,Hatchback,15,Toyota, Aygo
o 1.0 VVT-i + 3dr Hatchback,3195,Manual,62.8,Petrol,2009,998.0,69800,Red,Hatchback,15,Toyota, Aygo
1.0 VVT-i 2 3dr Hatchback,3195,Manual,65.7,Petrol,2009,998.0,71000,SILVER,Hatchback,15,Toyota, IQ
s 1.5 T Spirit Hatchback,3195,Automatic,65.7,Petrol,2008,1497.0,189500,Silver,Hatchback,16,Toyota, Prius
s 1.33 Dual VVT-i TR Hatchback 5dr Petrol Manual Euro 4 (s/s) (101 ps) Hatchback,3200,Manual,55.4,Petrol,2009,1329.0,81242,Grey,Hatchback,15,Toyota, Yaris
s 1.0 VVT-i T3 5dr Hatchback,3250,Manual,50.4,Petrol,2003,998.0,26000,Blue,Hatchback,21,Toyota, Yaris
s 1.3 VVT-i T Spirit 5dr Hatchback,3250,Manual,48.7,Petrol,2004,1299.0,29500,Green,Hatchback,20,Toyota, Yaris
s TR VVTI 5-Door Hatchback,3250,Manual,47.1,Petrol,2008,1296.0,63700,Red,Hatchback,16,Toyota, Yaris
s 1.6 VVT-i TR Hatchback 5dr Petrol Manual (166 g/km 124 bhp) Hatchback,3250,Manual,39.8,Petrol,2008,1598.0,69703,Blue,Hatchback,16,Toyota, Auris
s 1.3 VVT-i T3 5dr Hatchback,3250,Manual,47.1,Petrol,2006,1299.0,71000,Blue,Hatchback,18,Toyota, Yaris
o 1.0 Vvt-i + Hatchback 1 Other,3250,Automatic,61.4,Petrol,2006,1000.0,91000,Red,Other,18,Toyota, Aygo
o 1.0 VVT-i Go Euro 5 5dr Hatchback,3279,Manual,61.4,Petrol,2011,998.0,98700,White,Hatchback,13,Toyota, Aygo
o VVT-I GO 3-Door Hatchback,3290,Manual,61.4,Petrol,2012,998.0,73000,Red,Hatchback,12,Toyota, Aygo
s 1.8 VVT-i TR 4dr Saloon,3290,Manual,39.2,Petrol,2008,1794.0,96000,Silver,Saloon,16,Toyota, Avensis
s 1.33 Dual VVT-i T Spirit Euro 5 (s/s) 5dr Hatchback,3290,Manual,54.3,Petrol,2011,1329.0,100000,Silver,Hatchback,13,Toyota, Yaris
SPORTIF 5-Door Hatchback,3295,Manual,42.2,Petrol,1997,1332.0,67233,Blue,Hatchback,27,Toyota, Starlet
s 1.3 VVT-i Zinc 5dr Hatchback,3295,Manual,47.1,Petrol,2007,1296.0,68500,Black,Hatchback,17,Toyota, Yaris
o VVT-I PLUS 5-Door Hatchback,3295,Manual,61.4,Petrol,2006,998.0,70000,Silver,Hatchback,18,Toyota, Aygo
o 1.0 VVT-i Fire Euro 5 5dr Hatchback,3295,Manual,65.7,Petrol,2013,998.0,79102,Black,Hatchback,11,Toyota, Aygo
s 2.0 T2 D-4D 4d 125 BHP Saloon,3295,Manual,55.4,Diesel,2009,1995.0,98519,BLUE,Saloon,15,Toyota, Avensis
VALVEMATIC TR MPV,3295,Manual,41.5,Petrol,2010,1598.0,133158,Silver,MPV,14,Toyota, Verso
s 2.0 D-4D Icon Business Edition Grey 5dr Estate Estate,3295,Manual,61.4,Diesel,2014,1998.0,147394,Grey,Estate,10,Toyota, Avensis
o VVT-I FIRE AC Hatchback,3295,Manual,65.7,Petrol,2012,998.0,92614,Cirrus White,Hatchback,12,Toyota, Aygo
1.0 VVT-i Platinum 3dr Hatchback,3299,Manual,61.4,Petrol,2008,998.0,54000,Silver,Hatchback,16,Toyota, Aygo
s TR Hatchback,3350,Manual,47.1,Petrol,2008,1296.0,65000,Red,Hatchback,16,Toyota, Yaris
1.0 VVT-I MOVE 5d 68 BHP Hatchback,3350,Manual,65.7,Petrol,2014,1000.0,96616,Black,Hatchback,10,Toyota, Aygo
s VVTI T3-X Saloon,3350,Automatic,36.7,Petrol,2006,1794.0,83140,Silver,Saloon,18,Toyota, Avensis
